business_id,cool,date,funny,review_id,stars,text,useful,user_id
RLFIsHWmOFm-WsGfOTmH5Q,0,2011-10-02,0,o31WMkZsnWXpQPc3rwjmCQ,4,"This is one of those great Las Vegas places for window shopping and people watching. I haven't bought anything here, but I've spent several hours exploring the shops.  Bauman Rare Books is one of those fantastic stores where you want to walk around with your hands tied behind your back because you don't want to touch anything and leave a print on anything.  What an interesting shop.

I also window shop and the tie shop and I smile when I think that I know longer have to wear a tie unless i want to.  

Those are just two of the neat places in the Shoppes at the Palazzo.  I sometimes wonder how some stay in business because they're almost hiding in plain sight, but many people don't know the extent of the shoppes nor the different hallways that take you to different shops on different floors.",0,PKEzKWv_FktMm2mGPjwd0Q
tulUhFYMvBkYHsjmn30A9w,0,2009-03-28,1,p-27femPsz2zvenUsCXh8A,3,"Good fried chicken and sides.  I had tried some of their ribs at the Taste of Cleveland last year though, and wasn't too impressed since the meat was a little tough and the sauce, just OK.",0,DK57YibC5ShBmqQl97CKog
-MhfebM0QIsKt87iDN-FNw,2,2011-08-06,0,TMOdkyUoT6Fcv96UhkpF9A,4,"I like the Bellagio Gallery of Fine Arts, enough that I renewed my annual membership today.  I don't go as often as I should but I can and will--well not if history is my guide.

I know the space is small and I realize they charge too much for admission given that fact.  The audio tour wand included with the admission is almost worth the admission price.

The current exhibit--A Sense of Place:Landscapes from Monet to Hockney is small with a limited number of paintings and other art.  The quality, however, is excellent.  Many of the pieces are on loan from The Boston Museum of Fine Arts.  Some are from the Contemporary Museum in San Diego, and a few pieces are from the MGM Resorts collection.

I didn't have all that much time today, so I did the audio tour and moved quickly through the exhibition.  Since I have the membership for a year, I can go back another time and spend more time studying the individual works and learning more about the artists.

Again, I know the place is small, but at least we have a fine arts gallery.  With the Guggenheim closing and the West Sahara Library Museum closed, we need something like the BGFA.  It is worth having.",2,PKEzKWv_FktMm2mGPjwd0Q
dKdApYVFDSNYsNOso6NYlA,10,2015-05-15,12,HXQsMpyw8kCFe38sYaJhNA,1,"I had White Castle once before in when I was visiting Chicago and I didn't get it then.  When my sister-in-law saw that there was a White Castle in Las Vegas, one of her vacation stops here had to be White Castle--something that she fondly remembers from her youth.  I am still firmly in the I don't get it column.

There were three of us and we ordered a 10 pack bag with three bottles of water.  The sliders come out to be just over a dollar each but they were missing something.  Even the devoted sister-in-law thought they were missing at the very least some salt (and she doesn't use salt very much).  

I was underwhelmed by the sliders.  The onion taste was about the best thing and it's really stretching it calling that little thin piece of beef a slider.  The thing is mostly bread.

Being in the Casino Royale doesn't make it an easily accessible place unless you're a tourist walking the Strip and decide to drop in.  We walked from the Venetian.

Again, I just don't get the cult following.  I'd rather spend a bit more and have something more substantial and a whole lot more flavorful!!",13,PKEzKWv_FktMm2mGPjwd0Q
BOQOuwSNhfKx1xvKtONsBg,1,2014-02-09,0,Vi-44atGgDGgIwMlcl-p4Q,4,"I tried Settebello for the first time last night.  I had read the reviews of my Yelp friends and likes the sound of the Rafael pizza which was on their special of the day and it sounded good.  

When I talked to the young man at the podium and told him I wanted to place a To Go order, I told him about the pizza and the reviews.  He told me he'd check and a short time later, he came back and told me they could make it but they didn't have the caramelized onions for it.  I told him to order it anyway.

In just a few short minutes, the pizza was brought to me as I waited in their small waiting area.  I brought it home and it was very good.  It was also the perfect size for two people.

My preference is still for thick crust, Sicilian style pizza, but I can see that Settebello will be on my rotation list.  And, I want to try some of the others as well.

Good service and good pizza!",2,PKEzKWv_FktMm2mGPjwd0Q
fGt3udZE8r9JkbfMZnawXg,4,2010-07-23,1,fjhAUy5bqw5gOY2A6qaEZQ,4,"We went last night to see Ain't Misbehavin'.  The show was very well performed by a cast of 5.  The band and piano player were superb also.  I'm looking forward to seeing Damn Yankees next month.  

It was a pleasant moonlit evening.  This is what makes Super Summer Theatre special.  I always enjoy their productions.",4,PKEzKWv_FktMm2mGPjwd0Q
0nyM_mub7LxN6Dx7tYpMaA,0,2011-05-21,0,xz58A2brutpi4UJRuf29Uw,4,"Tried the kung pao soy chicken to go.  The lunch special comes with a scoop of rice, and small portion of salad.  The outstanding feature is the flavorful sauce which complements the soy chicken and veggies very well.  The veggies and chicken themselves are prepared very well.  The veggies are not too hard or soft, and the chicken is tender.  While the mock chicken was good, I still could detect that it was faux chicken in texture and taste.",0,DK57YibC5ShBmqQl97CKog
BlD3wlsLIGRT5imf2hEljA,3,2013-05-15,1,sZIAyNex__7kiFKicBs-gQ,5,"I have been to the gallery several times since it's been at the Bellagio next to the Bellagio gallery of Fine Arts.  If you're going to/from the pool or to/from the Bellagio's Spa Tower, or attending a meeting at one of the conference rooms down the hallway, you've gone by and maybe noticed the photos but kept going to get to where you wanted to be.  Next time, stop, go in, and enjoy the photos.

I have been on two walking photo journeys with Jeff and I find his work to be outstanding!  It is great when you're able to hear from the photographer how they composed a particular photo, how long they had to study the area to know when was the best time, and other things that a layman such as myself never think of.

A reason to visit would be to see some of the original Masad photos which will  soon be going to the museum in Israel.  Hearing him describe how he discovered and used the metal from the bunkers on the Golan Heights for his frames was a fantastic story and put the photographs into an historical perspective.

I'll be sure when I go to the BGFA to see the Warhol exhibit that I'll once again stop in and see the photos.  They are good!",3,PKEzKWv_FktMm2mGPjwd0Q
pC1hkqLcrXBxrs7YgfkJ3A,1,2013-01-19,0,hleYAdHHTFmtpBlaq1xHgA,4,"Cost Plus has a great selection of household goods, furniture, and food, all from various parts of the world.  There's always a cool item you'll be wanting to take home every time you go into this store.  The employees here are very friendly, which is another plus!  I always thought the name was a little funny, since the words Cost Plus make me think of something that will be costly, but for the most part, prices are decent.  It's kind of like a more global, upscale version of Target here, with more hand crafted items and artisan foods.",0,DK57YibC5ShBmqQl97CKog
JAmQCmczUclNUfZjkNdjQA,7,2014-04-30,5,PLtqPwv4Ic4dKkwWNWSJfA,4,"The last part of my playing tourist yesterday was to ride the High Roller.  It has been great fun to watch this being built and to anticipate riding it.  I have a fear of heights and I abhor glass elevators.  This seemed to me like the making of a perfect fetal position ride.  But, I screwed up my courage, bought my ticket, and scampered into the car.  

Let's back up a bit.  You can buy tickets online, at one of the many self-serve kiosks in the Linq and other places around the Quad/Linq area.  You can also buy in person.  If you do, and you have a Total Rewards card, the $2 fee you pay online is discounted.  No special price for Nevada residents.

After getting your ticket and going through several theme park like queuing areas, one on the first floor and then another one on the second floor at the top of the escalators.  

After walking down a ramp, you're urged to move along quickly because the wheel generally doesn't stop and you enter after the people have exited on the other side.  Once everyone is in, the car door shuts and is locked.  The ride is very smooth and it was very easy for me to do.  I was so interested in moving from side to side taking photos and enjoying the view.  It really didn't bother me.

After what seemed like 10 minutes, the ride was over and it was time to exit.  I strode down the ramp with a swagger as if to say, ""Yes, I did it! Yo!"" 

Now, to go back and do the ride at night to see the lights.",7,PKEzKWv_FktMm2mGPjwd0Q
